f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, class
1,1.794552,0,82.89681,61.61618,0.5844391,0.3384761,-0.5895417,-0.7333993,0.08034439,-0.4158596,-0.9058729,-0.0312307,-0.3702162,-0.9284205,-0.1847568,-0.2994863,0.9360411,-0.3459508,-0.3543787,0.8687541,0,1,1,0,0,28.80281,65.3019,71.71886,18.28459,16.65586,6.814633,80.65541,9.840828,51.79713,U
1,1.796058,0,82.89681,61.28942,0.5881638,0.3418603,-0.5861433,-0.7345526,0.07972731,-0.4169151,-0.9054421,-0.0372222,-0.3766532,-0.9256063,-0.1746984,-0.2950025,0.9393902,-0.3396454,-0.3451496,0.8749359,0,1,1,0,0,28.68335,65.2055,71.66908,18.18777,16.63874,6.708999,80.52653,9.731114,51.72651,U
1,1.804226,0,82.89681,61.12069,0.5678529,0.3326725,-0.5842443,-0.7402619,0.08476732,-0.4177164,-0.9046146,-0.02482175,-0.3895586,-0.9206671,-0.1752975,-0.2997361,0.9377788,-0.3404375,-0.3485098,0.8732945,0,1,1,0,0,29.00496,65.22343,71.48309,18.22475,16.69145,6.672858,80.26165,9.53818,51.24461,U
1,1.798121,0,82.89681,61.23292,0.5863388,0.3368572,-0.5857103,-0.7372046,0.08205694,-0.4175434,-0.9049442,-0.02337138,-0.3895567,-0.9207059,-0.1768895,-0.3084016,0.9346649,-0.3427064,-0.3568442,0.8690309,0,1,1,0,0,28.91785,65.23345,71.4958,18.23264,16.68696,6.688474,80.05103,9.617566,51.42044,U
1,1.794724,0,82.89681,61.32642,0.5986615,0.3399459,-0.5889443,-0.7331994,0.08126464,-0.4195788,-0.904074,-0.01957299,-0.3848569,-0.9227687,-0.1878226,-0.3084526,0.9325125,-0.3543195,-0.3537561,0.8656294,0,1,1,0,0,28.80468,65.26664,71.56866,18.24292,16.67505,6.707647,80.11104,9.779115,51.6257,U
1,1.796519,0,82.89681,61.28136,0.5888626,0.336536,-0.5890149,-0.7347142,0.08302786,-0.4192583,-0.9040624,-0.01948085,-0.3850399,-0.9226943,-0.1889258,-0.3067912,0.9328377,-0.3537914,-0.3527282,0.8662646,0,1,1,0,0,28.89408,65.27345,71.56542,18.25475,16.69729,6.710353,80.17989,9.732304,51.50476,U
1,1.812241,0,82.89681,60.61685,0.4902468,0.3148314,-0.5867124,-0.7460896,0.116147,-0.4227822,-0.8987575,-0.0206477,-0.3764647,-0.9262008,-0.1839082,-0.2727428,0.944346,-0.3317195,-0.3414741,0.8794075,0,1,1,0,0,29.44269,65.036,71.60323,18.47022,16.89906,6.833598,81.34834,9.601571,50.32825,U
1,1.812348,0,82.89681,60.74989,0.5196561,0.3368639,-0.5800174,-0.741689,0.1113991,-0.4215183,-0.8999514,-0.01709798,-0.3731081,-0.9276304,-0.1844342,-0.277971,0.9427174,-0.3378463,-0.3408678,0.8773078,0,1,1,0,0,29.20006,65.15427,71.68071,18.29936,16.7572,6.79883,81.14987,9.718322,50.72019,U
1,1.803756,0,82.89681,60.82003,0.5450702,0.3336332,-0.5887865,-0.7362196,0.1002793,-0.4283749,-0.8980195,-0.009984516,-0.3795569,-0.9251145,-0.1864341,-0.2842792,0.9404402,-0.344222,-0.3436174,0.8737496,0,1,1,0,0,28.98421,65.10377,71.61884,18.4074,16.74861,6.870687,80.86962,9.981918,50.90255,U
1,1.801815,0,82.89681,60.90874,0.5362372,0.3225494,-0.5923736,-0.7382787,0.1023938,-0.4296474,-0.8971726,-0.006425789,-0.3730478,-0.9277898,-0.1862776,-0.2881129,0.9393038,-0.3424626,-0.3465658,0.8732763,0,1,1,0,0,29.12061,65.07359,71.6685,18.49825,16.72687,6.994577,80.93735,10.15783,50.7403,U
1,1.814822,0,82.89681,60.56333,0.4933851,0.32309,-0.5805734,-0.7473602,0.11587,-0.4214752,-0.8994069,-0.01980453,-0.3795934,-0.9249414,-0.1718927,-0.2769336,0.9453892,-0.3221779,-0.3438641,0.8820198,0,1,1,0,0,29.39979,65.08112,71.56748,18.45609,16.86393,6.835991,81.22549,9.539976,50.32601,U
1,1.813357,0,82.89681,60.75566,0.5078153,0.3281428,-0.5918069,-0.7362655,0.1090031,-0.4309203,-0.8957824,-0.01973203,-0.3827063,-0.9236593,-0.182027,-0.2600986,0.9482694,-0.3365663,-0.3255003,0.8836134,0,1,1,0,0,29.10731,65.00081,71.55457,18.44118,16.86115,6.798037,81.34948,9.709906,50.76434,U
1,1.815018,0,82.89681,59.27989,0.4519214,0.293415,-0.5817137,-0.7586282,0.1167962,-0.4528949,-0.8838806,0.02387551,-0.3827672,-0.9235362,-0.1966615,-0.2903976,0.9364793,-0.3405934,-0.3477421,0.8735397,0,1,1,0,0,29.87811,65.04354,71.62967,18.20542,16.64987,7.063312,80.55109,10.58726,48.73062,U
1,1.799689,0,82.89681,58.49984,0.4863428,0.3018435,-0.587065,-0.7511625,0.1270237,-0.4682842,-0.8743997,0.01553347,-0.3664495,-0.9303083,-0.2407601,-0.312788,0.9188026,-0.3941855,-0.3418966,0.8530676,0,1,1,0,0,29.66995,65.15112,71.88321,18.41561,16.70704,7.160407,80.61891,10.53013,48.41603,U
1,1.786598,0,82.89681,59.52438,0.4238607,0.27613,-0.5955738,-0.7543501,0.1246838,-0.4542103,-0.8821264,-0.03428131,-0.3338357,-0.9420077,-0.1922409,-0.2750695,0.9420086,-0.3491239,-0.3280689,0.8777717,0,1,1,0,0,29.71786,65.08123,72.15722,18.65359,16.88029,6.971775,82.20642,10.51973,49.38594,U
1,1.816455,0,82.89681,59.96452,0.485298,0.3088601,-0.5804378,-0.753457,0.1049071,-0.4307744,-0.8963414,-0.05265054,-0.3707566,-0.9272364,-0.1687461,-0.2744744,0.9466724,-0.325536,-0.3161631,0.8911045,0,1,1,0,0,29.34154,65.12739,71.67925,18.37541,16.73788,6.903976,81.27426,9.430128,49.82917,U
1,1.781466,0,82.89681,61.75955,0.7135777,0.3852012,-0.5797171,-0.7180167,0.08072947,-0.4067653,-0.9099587,-0.01628007,-0.3755499,-0.9266592,-0.2126328,-0.3155822,0.9247676,-0.3781724,-0.3497903,0.8571069,0,1,1,0,0,27.71227,65.54118,71.85233,17.82814,16.42682,6.747419,79.56565,9.787526,53.03662,U
